[1231/053141.051:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1231/205123.285:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0103/203757.061:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0104/210010.819:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0105/050114.474:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0105/060208.885:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0106/070449.680:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0107/044614.677:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0109/040128.981:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040235.867:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040235.867:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040235.875:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040247.382:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040247.382:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040247.382:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040247.382:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040247.382:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040247.382:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040247.382:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040247.390:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040310.744:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040310.759:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040310.759:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040310.759:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040310.759:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040310.759:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040310.759:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040310.759:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040334.731:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040334.731:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040334.731:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040334.731:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040334.731:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040334.731:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040334.731:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040334.731:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040335.357:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040335.357:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040335.357:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040335.357:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040335.357:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040335.357:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040335.357:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040335.365:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040335.909:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040335.909:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040335.909:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040335.909:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040335.909:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040335.909:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040335.909:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040335.909:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040343.821:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040343.821:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040343.821:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040343.821:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040343.829:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040343.829:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040343.829:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040343.829:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040411.692:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040411.692:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040411.692:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040411.692:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040411.692:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040411.692:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040411.692:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040411.692:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040420.533:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040420.533:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040420.533:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040420.533:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040420.533:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040420.533:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040420.533:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040420.533:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040421.205:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040421.205:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040421.205:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040421.205:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040421.205:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040421.205:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040421.205:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040421.205:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040421.903:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040421.911:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040421.911:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040421.911:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040421.911:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040421.911:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040421.911:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040421.911:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040440.909:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040440.909:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040440.909:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040440.909:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040440.909:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040440.909:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040440.909:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040440.909:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040445.729:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040445.729:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040445.729:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040445.729:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040445.729:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040445.729:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040445.729:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040445.729:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040448.051:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040448.083:ERROR:exception_handler_server.cc(524)] ConnectNamedPipe: The pipe is being closed. (0xE8)
[0109/040448.161:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040448.161:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040448.161:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040448.161:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040448.161:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040448.161:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040448.161:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040448.161:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040448.353:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040448.361:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040448.361:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040448.361:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040448.361:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040448.361:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040448.361:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/040448.361:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/041129.131:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0109/042054.521:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042054.537:ERROR:exception_handler_server.cc(524)] ConnectNamedPipe: The pipe is being closed. (0xE8)
[0109/042054.615:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042054.615:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042054.615:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042054.615:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042054.615:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042054.615:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042054.615:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042054.615:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042054.836:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042054.836:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042054.836:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042054.836:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042054.836:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042054.836:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042054.836:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042054.836:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042159.493:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042159.508:ERROR:exception_handler_server.cc(524)] ConnectNamedPipe: The pipe is being closed. (0xE8)
[0109/042159.587:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042159.587:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042159.587:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042159.587:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042159.587:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042159.587:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042159.587:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042159.587:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042159.784:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042159.792:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042159.792:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042159.792:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042159.792:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042159.792:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042159.792:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/042159.792:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043222.203:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043222.203:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043222.203:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043222.211:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043222.211:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043222.211:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043222.211:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043222.211:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043222.803:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043222.803:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043222.803:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043222.803:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043222.803:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043222.803:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043222.803:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043222.803:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043224.323:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043224.323:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043224.323:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043224.323:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043224.331:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043224.331:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043224.331:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043224.331:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043224.531:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043224.531:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043224.531:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043224.531:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043224.531:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043224.531:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043224.531:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043224.539:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043225.523:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043225.523:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043225.523:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043225.523:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043225.523:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043225.523:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043225.523:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043225.523:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043225.763:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043225.763:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043225.763:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043225.763:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043225.763:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043225.763:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043225.763:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043225.763:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043229.908:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043229.908:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043229.916:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043229.916:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043229.916:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043229.916:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043229.916:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043229.916:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043231.068:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043231.068:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043231.068:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043231.068:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043231.068:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043231.068:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043231.068:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/043231.068:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044023.730:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044023.730:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044023.730:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044023.730:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044023.730:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044023.730:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044023.730:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044023.730:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044023.922:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044023.922:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044023.922:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044023.922:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044023.922:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044023.922:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044023.922:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044023.922:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044036.793:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044036.793:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044036.793:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044036.793:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044036.793:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044036.793:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044036.793:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044036.793:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044051.849:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044051.881:ERROR:exception_handler_server.cc(524)] ConnectNamedPipe: The pipe is being closed. (0xE8)
[0109/044051.943:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044051.943:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044051.943:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044051.943:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044051.943:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044051.943:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044051.959:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044051.959:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044052.146:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044052.146:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044052.146:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044052.146:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044052.146:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044052.146:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044052.146:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044052.154:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044053.826:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0109/044053.826:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
